feature,coefficient,importance
precio_lag1,280.8686721582354,280.8686721582354
oni_lag1,197.9188852292958,197.9188852292958
oni_lag2,-195.95685121078753,195.95685121078753
oni_lag3,152.83727701159324,152.83727701159324
precio_ma3,124.49173113733505,124.49173113733505
oni_ma6,-93.48211401459118,93.48211401459118
precio_lag12,76.68221751528927,76.68221751528927
precio_lag2,66.62053866317086,66.62053866317086
precio_ma12,-54.660214951076306,54.660214951076306
precio_lag6,53.490628620496615,53.490628620496615
trend,47.81152078467945,47.81152078467945
oni,-42.187727917066134,42.187727917066134
mes_sin,33.091827943626036,33.091827943626036
es_nino,25.67596861414593,25.67596861414593
oni_squared,20.902983619109428,20.902983619109428
